120-1,1 sigma,120-2,1 sigma,300-1,1 sigma,300-2,1 sigma,600-1,1 sigma,600-2,1 sigma,1200-1,1 sigma,1200-2,1 sigma
1068.029998,5.027143785,1016.814447,5.270252115,437.9593983,4.022675322,412.6724612,3.135199532,252.9905714,5.3074911,245.8904702,3.974829843,232.306277,3.163344132,220.814297,3.34216292
1073.530687,5.673586583,1019.227768,8.496362079,439.5714137,3.332567579,416.7181865,3.134254544,256.974724,3.49226163,247.0143202,1.977397494,232.7767276,2.568236142,222.8731256,5.320414975
1073.881157,5.775472776,1020.6411,5.053765135,439.9604722,3.614165482,416.7716653,4.568974531,257.3489836,2.556634509,247.7497986,4.800699986,232.8474364,2.117137143,223.2252454,4.176113977
1076.296,5.335566351,1022.577926,5.633687178,440.1325227,3.728120242,417.2802005,4.237264763,264.3081926,2.970004404,250.0429612,2.853922072,233.6744625,2.640694094,223.3773954,11.93547832
1079.458241,6.314626799,1023.08374,5.726265366,441.704939,4.133802157,417.6689994,3.066468344,264.4959531,2.11217865,252.413627,2.93427106,233.7994925,1.473254757,225.0069498,1.910033294
1080.913905,6.808362649,1027.790291,6.429892909,441.8377702,4.408496008,421.2123798,2.939067933,265.4794697,2.286326059,255.0487592,1.923801988,234.2371076,9.638033777,225.4845938,1.704111465
1081.792539,7.097589985,1028.061883,6.290501584,442.34759,4.134145948,422.2779122,10.43382398,269.0733156,2.044768451,256.5066796,3.042972068,234.3030187,3.621855316,226.1361984,5.989914236
1084.002298,6.540763285,1031.735662,5.034096281,443.3073035,4.504914536,433.6490727,3.169053416,271.838467,2.422478564,258.5364849,2.189744109,234.5216527,5.753641238,226.6812627,2.004553264
1088.825185,7.351928372,1051.528104,4.728136379,447.051385,4.083448833,435.9123091,3.188863612,272.0391191,3.41531881,262.3964904,1.758116094,234.8561131,1.538520137,227.188055,6.665931509
1103.91853,5.18704501,1055.313251,5.921571851,450.1171899,3.591081575,443.0522465,3.289327508,284.4680313,2.421762138,262.9007827,1.95542,236.1922276,3.379866569,228.6453525,1.574136349
1107.830801,6.904351081,1066.015038,4.995215247,453.0570987,3.498653216,450.8015507,4.119861336,296.5118192,2.514239423,263.1615457,1.962443669,236.3923777,1.763866977,229.9214879,8.782880384
1111.76246,7.326876804,1066.321217,5.149523853,456.5138027,3.889303965,456.9784166,3.465534854,305.3697751,2.008278913,263.5909819,2.505318278,236.6281997,7.917110193,230.471739,3.013871209
1114.922132,6.635245691,1079.796965,5.278485887,457.2594078,3.916018579,475.0449914,3.497635961,307.1202736,3.634726775,272.3838118,4.008563607,236.7857494,8.237526325,230.5681689,3.701936911
1136.013686,5.782749835,1081.092889,5.942955047,459.6321771,4.349044557,548.1563371,4.158585722,308.635346,4.067895203,293.3820921,2.925835635,237.8677752,2.511137387,233.9307812,1.915707049
1148.486776,9.607861406,1085.354456,5.0089164,499.7914894,4.536380379,561.5523275,4.158206032,322.3207658,2.415567056,311.192936,2.083341895,238.3321387,1.826586498,234.27594,1.801414618
1156.470415,6.117998733,1087.985637,6.568202092,522.6702905,6.029069728,589.6258521,5.233473669,330.61965,3.571307469,311.5820479,3.241189727,238.3997195,1.570203018,234.5928006,2.076684384
1164.034365,5.846750559,1089.27387,6.62931178,524.8059286,4.479478967,597.6783927,5.200274505,338.8678255,4.009833069,333.9564192,2.402640429,238.454422,3.229037051,235.7262784,2.019604315
1167.842229,7.144211201,1097.213365,7.975638952,538.8570113,4.679714875,600.5095792,5.188294433,341.6387696,3.919412733,338.0726918,2.857510202,239.1920852,3.659685247,236.2666603,11.65294543
1168.209384,8.089639009,1100.837955,5.006473916,561.6439586,5.263707761,818.4127745,4.550312969,347.6398534,2.928047405,342.100142,5.393108917,239.4738791,3.575575868,236.7980765,3.080644697
1168.30506,5.974808876,1132.343247,5.498288622,577.5519819,4.52973581,865.1839906,13.30444978,369.0214444,2.816762765,355.79512,2.306692011,239.5569845,3.766612314,237.852702,1.582587411
1171.937986,7.191004341,1170.070156,5.906492531,580.6323931,4.867841812,909.4783378,6.677371785,375.4527274,4.852099872,367.7909956,3.025173514,240.7097109,9.457506768,237.9803094,7.084375257
1178.124565,5.36837238,1214.420004,27.23356,590.625068,5.738705496,911.4392486,20.98616177,391.9306261,4.041352807,369.2295371,4.398619311,241.1439639,5.795182285,238.123696,2.130758238
1213.188062,10.88690082,1217.752322,6.931596276,598.8429471,4.751316707,925.0598054,8.972350511,394.9959079,15.24290022,373.6459954,3.269191494,241.7271894,2.052950626,239.0491857,1.807971034
1214.16902,20.0844215,1233.778017,22.66587202,600.2324798,5.75577917,930.1189014,6.498898524,403.392291,3.535313725,379.5624923,3.262850199,242.2234123,1.453553496,239.1191075,3.689828797
1219.317642,13.04265986,1306.905682,42.09418743,607.3698993,4.930601501,930.7754369,6.416117109,406.9763074,7.563705317,389.7302865,3.502336006,243.0910025,3.327269488,239.5793154,2.158434615
1265.845206,12.61019103,1311.546303,18.48174965,642.5383392,5.184227267,930.9616487,7.703017162,409.9016741,3.06508196,395.4250499,2.947886969,243.6339285,4.262491486,239.5862421,6.4751137
1286.159321,73.34958988,1313.9011,26.04712971,645.2216268,5.886798425,933.6885307,8.269266032,411.5583971,3.585147591,398.8996741,2.952337736,244.2652766,2.077660243,240.1585018,2.895050736
1294.450938,19.58668916,1399.628236,19.2916195,748.4940848,5.554728859,953.7389976,8.495867228,413.8638806,2.862137892,405.1501974,3.001338593,245.5479568,4.415273001,240.8114344,14.06764819
1314.44289,16.13365919,1416.617517,15.09534702,766.6066849,6.363448685,980.7109275,7.405332031,415.5098269,3.523050213,406.6478217,9.316458174,245.6807448,2.099493198,241.0558489,7.307217738
1365.434613,45.47414236,1420.543444,16.34286556,828.3690634,23.41437034,985.0116288,7.780680031,415.9303558,2.947506984,415.2934421,3.66150304,246.0962964,3.107383529,241.2442483,9.765206481
1366.631571,15.30531328,1428.149916,18.68505519,925.0838367,9.238657171,986.0345548,9.155942544,418.5949575,3.344637453,416.7185367,2.968625485,246.9949649,1.961792173,241.7106917,7.828420528
1375.12285,50.19087204,1429.327786,17.98207885,955.8029696,7.29228519,988.5829083,8.053009283,420.0988086,3.394993029,417.1487786,3.049723022,247.0293334,2.581256052,243.0809933,3.303272734
1406.639827,16.62210252,1436.074892,14.93334978,967.2583137,10.63664676,996.914057,7.069289594,422.508502,3.5418719,417.4713134,3.014005505,247.0507192,5.329188975,246.139572,8.396620514
1407.595522,18.3118916,1436.674795,22.77714687,977.4559764,7.86764541,1001.291289,6.390491123,431.6089793,2.766027228,420.023213,3.004436576,247.177326,2.90441396,246.2395268,5.364663904
1411.890235,12.98076272,1438.046938,15.60718974,980.9774488,8.706999529,1003.504643,6.192608284,432.9507599,4.79027297,421.2732337,3.730398327,247.323896,2.135948059,246.7774479,4.587127081
1428.359826,28.90003929,1439.792668,14.57557456,981.4603139,9.19300999,1005.216367,7.842310535,435.3225749,2.986176507,423.2222118,6.272855405,247.4817866,5.481441596,247.5206053,1.672889939
