120-1,1 sigma,120-2,1 sigma,300-1,1 sigma,300-2,1 sigma,600-1,1 sigma,600-2,1 sigma,1200-1,1 sigma,1200-2,1 sigma
,,,,1127.628429,9.224875624,1116.00015,8.67468754,1009.003607,7.070042499,1003.64823,6.875105127,413.0939628,2.461488866,415.3185083,2.673227859
,,,,1128.380014,7.731989869,1116.296067,6.779687019,1009.795076,8.196943035,1003.830777,6.401672486,413.696114,3.032190557,415.6783156,3.634872088
,,,,1133.260345,9.440745778,1116.454419,7.419685308,1010.968511,9.330303735,1005.276039,6.154859434,413.8043433,4.356345949,416.4910946,6.852466308
,,,,1133.436977,8.5915477,1117.821513,8.982191548,1010.9759,6.977608901,1005.554157,6.689410605,414.1606916,3.437960751,417.3234871,3.358145386
,,,,1134.687733,12.94759633,1118.221896,6.510519946,1012.682783,10.66313072,1006.727047,6.166396357,414.6598556,6.351407271,418.2663524,11.70968059
,,,,1135.12522,8.493156564,1118.950854,9.964107638,1012.753356,7.832318735,1007.262743,8.169226468,415.2020898,2.645392079,418.8821524,4.13224296
,,,,1139.264062,8.918010774,1122.687124,7.226780303,1012.858568,8.048185275,1007.416306,9.109841802,416.2785891,3.310465335,419.9952088,2.818019309
,,,,1141.483431,10.07627798,1126.0744,7.12512604,1013.466487,6.939351967,1008.303725,9.208081843,416.9571383,3.036841957,420.9682989,8.049801387
,,,,1143.615825,9.232772282,1130.658276,7.983715766,1013.631852,9.210801059,1008.711298,7.580825139,417.4189044,3.299875185,420.981299,10.98140135
,,,,1146.779222,8.496809465,1132.802013,7.064150224,1013.948739,7.106951056,1010.514134,7.596939694,417.5344656,4.0338079,421.7251342,3.512491257
,,,,1147.701145,8.811245135,1133.769334,6.783377136,1014.352686,6.408567578,1010.647648,9.392012507,417.7335268,2.882721939,421.9662345,12.27428752
,,,,1151.026621,10.8158217,1143.861116,12.42031116,1015.978015,8.051337565,1011.272013,8.011153313,418.7530501,4.404025244,422.0727635,3.04517854
,,,,1151.800344,9.787360087,1144.503634,8.895900067,1017.814958,8.160708848,1013.59163,6.231938307,419.8039841,3.456595271,422.2667068,3.551223643
,,,,1153.568127,10.22083401,1146.548185,8.187812298,1019.120699,6.49928772,1014.204629,8.107197101,420.5368582,3.143056063,423.3777982,2.497619566
,,,,1155.643461,10.32056987,1152.115587,7.389914574,1019.276689,7.723572736,1014.406934,6.92950608,424.4980612,3.146263231,427.917637,3.762430617
,,,,1161.285539,9.231231719,1154.247382,7.773091143,1019.658597,7.143169986,1014.461928,12.40354238,426.213805,3.32866246,428.1472574,2.993141422
,,,,1182.589274,12.45226149,1163.568777,9.682400066,1019.766278,8.738144353,1014.534248,8.218289732,426.3214984,3.19743597,429.9796968,11.16054358
,,,,1183.875156,9.243972861,1167.067727,6.756489663,1022.04295,8.399907266,1015.759309,5.698621195,426.3561017,3.701132281,430.4820939,9.591759808
,,,,1188.273449,8.624161756,1172.469142,6.177760324,1022.42651,7.822877068,1015.831536,8.477186278,427.2020322,3.443847033,433.1684485,6.597189025
,,,,1188.334848,7.869034432,1177.225646,8.865500615,1022.601504,7.994471451,1016.585731,9.722894732,428.3453153,5.305147827,434.255195,6.69647715
,,,,1194.954321,8.36127913,1178.432429,8.397647876,1023.357356,8.851978144,1016.819648,7.54936454,428.6589023,3.198197355,435.0025562,2.887731516
,,,,1219.887782,87.56670064,1180.037862,8.237450283,1023.390579,7.966437286,1016.832314,8.372606075,429.8590938,3.05675653,435.4554231,3.131890185
,,,,1222.489844,18.6901489,1189.861042,8.772463258,1023.491012,6.787474544,1016.842098,7.810639635,430.4349767,2.401843443,437.8436719,2.307427108
,,,,1230.37828,18.00293552,1190.555923,9.871507854,1024.052643,9.532682971,1017.525262,7.999395568,430.8269655,2.974660547,438.5160053,9.553791191
,,,,1254.940012,70.32223607,1225.317694,15.39985178,1025.673748,7.509105175,1017.606053,7.496827442,431.868003,2.835642753,439.5839674,5.474050927
,,,,1263.374379,17.64485813,1227.436901,24.27805207,1025.775755,7.353017181,1018.046719,8.05141229,433.1920813,3.789800848,440.9501462,3.778485267
,,,,1273.256421,23.32410149,1236.509858,9.732475191,1027.058419,15.05697218,1018.381722,6.75932889,434.9462927,11.7593898,441.3904882,3.319451829
,,,,1274.003344,17.39365139,1239.244542,15.64729373,1027.426582,7.004429241,1018.699347,7.868912256,435.252662,3.311063743,443.5262079,4.255400542
,,,,1277.338378,25.96183211,1247.410484,20.21078209,1027.860721,7.873289763,1020.704187,6.793595248,435.3301429,4.353933508,444.6770261,4.952265182
,,,,1284.059025,15.05800372,1247.815172,16.96689528,1028.198179,7.152687134,1021.478853,6.567041784,435.3381043,3.083727088,446.8362295,5.576293495
,,,,1284.129611,57.43640294,1252.653667,28.1499268,1028.629356,10.07535805,1023.288263,6.038487862,436.81125,3.048689494,447.3335811,7.484786571
,,,,1296.219027,25.37798103,1255.103984,20.45473943,1028.760283,8.492062197,1025.866975,11.1602757,438.0187924,6.619816852,449.1202283,4.171679607
,,,,1308.014316,113.495141,1277.972924,74.87326426,1028.974515,10.15935989,1025.954299,8.330147372,440.698764,5.20773017,450.9825367,6.209796121
,,,,1316.822995,29.43153335,1298.511935,18.06172749,1028.988907,8.027976989,1026.69053,6.456180982,440.8811497,4.28239326,452.9444791,2.876029781
,,,,1320.739537,20.66825008,1305.938119,17.05137774,1029.382559,6.914994517,1026.999785,7.883483072,441.795823,4.26981937,454.0064861,3.90094807
,,,,1332.043219,27.78073992,1311.339531,21.23051002,1029.395224,7.192839722,1027.087476,7.800944244,442.01035,4.480932934,454.3999375,3.359537018
,,,,1334.994173,15.59951248,1327.557544,20.20931349,1030.188985,12.23511393,1028.092339,7.67199324,446.8168934,4.506268859,456.6136232,3.608710474
,,,,1335.534593,28.44041242,1348.598495,24.12542086,1031.478976,7.228917081,1028.222942,9.038218554,448.252837,5.450947301,457.4985037,6.993299416
,,,,1338.478407,13.20270636,1361.107398,13.71591189,1032.090329,10.23937514,1028.551696,6.110056349,448.9272462,4.288073579,458.5987551,3.241302471
,,,,1346.10746,20.41206815,1363.069923,17.74984958,1032.260506,8.287648718,1029.062069,8.560612454,454.2047104,3.319677443,463.0081182,4.588580694
,,,,1350.759124,13.96719765,1370.233271,14.80887513,1032.994481,6.711932814,1029.48723,8.896257441,454.8810701,3.297499736,467.3084536,4.692925214
,,,,1374.092342,20.80896797,1372.928057,15.57930133,1033.139308,5.524474595,1029.558936,8.43680528,458.8011187,2.740666146,486.416532,5.159953602
,,,,1397.834989,46.71029623,1411.386229,14.57559997,1033.365031,8.338791841,1029.909498,7.353778701,462.1825383,5.401210361,499.1872142,3.335379147
,,,,1397.903182,44.02257319,1419.107504,27.16214773,1033.613409,9.287864878,1030.334493,7.395049126,463.9795195,3.271554884,511.4920826,6.589127564
,,,,1398.398351,16.88128525,1421.328859,18.06853288,1035.442865,7.792821453,1031.879749,8.456044636,466.0641999,3.949502442,515.1368664,3.597893837
,,,,1413.904858,19.10234157,1426.237209,10.62613922,1035.526242,8.643177219,1032.986526,7.129370038,473.4550356,3.498497389,515.8534286,19.48852407
,,,,1418.360378,28.28868141,1426.756343,24.31959883,1037.421619,7.102473201,1033.943423,8.03980429,474.9223736,3.133157531,518.1184308,3.708134764
,,,,1421.854369,31.39793987,1430.111403,11.68495164,1039.912042,9.168808226,1034.074746,6.983867293,513.435983,9.793524607,520.2442445,6.550388903
,,,,1423.071376,14.06495059,1432.783249,17.22097326,1040.185444,9.31848369,1034.681074,9.544921545,516.0469835,7.596442455,521.0799593,4.229079519
,,,,1424.361623,24.45729967,1433.041676,12.17299266,1040.726085,7.931350785,1035.16969,5.953029162,516.5228101,5.398182916,521.1957272,5.724964445
,,,,1428.536585,15.14309565,1433.067783,30.36813597,1041.357397,7.971172656,1035.534404,9.816906234,525.4361774,6.936677414,527.5547145,10.05606792
,,,,1430.318663,16.46189384,1433.450876,19.61159729,1041.8152,6.046507651,1035.704708,6.796539749,531.386702,14.09017991,530.5865888,6.473934495
,,,,1432.215174,15.7295768,1434.128536,14.86637676,1042.358955,6.700904393,1037.012551,7.103681488,537.5238566,5.027065869,533.7354346,14.04651325
,,,,1433.108762,17.84378175,1434.271765,14.78836742,1042.704616,9.172768182,1037.144374,5.982962099,538.1155223,3.469488294,538.2694599,18.20177487
,,,,1433.416818,21.81492307,1435.109573,23.93306102,1044.648527,8.166444763,1037.167732,6.980097055,544.6936575,8.866105983,538.7345145,8.543652072
,,,,1439.427012,16.81375615,1436.569171,29.25373494,1044.872965,8.122381145,1037.340698,7.168683365,546.7693774,5.961087569,540.39249,4.010763548
,,,,1443.254313,18.43405458,1437.468177,10.85572267,1046.149943,6.894593454,1038.744554,7.096310724,550.8758674,4.378868851,540.8021756,3.183119254
,,,,1446.694794,57.56250991,1439.569555,12.25228655,1046.52987,7.924896562,1040.431966,10.09641356,554.421854,5.359455513,548.0397085,3.96646488
,,,,1450.410967,25.08258861,1441.929096,11.38012268,1047.405698,7.438895825,1041.068118,6.736247162,554.884116,26.06089078,555.6734156,16.0782143
,,,,1452.802066,19.11961546,1443.114543,14.80428653,1047.783898,8.48933116,1041.513949,6.433326795,555.1086999,12.15856379,567.8586869,5.142421505
,,,,1453.215555,21.99155879,1443.299917,12.65570323,1048.395783,9.11949855,1042.626056,12.10234,557.6698956,17.87131332,571.9693136,28.25096435
,,,,1453.221288,22.71700676,1445.996569,15.55911332,1048.675902,7.268158093,1042.889922,6.697623112,566.4889188,12.17288828,573.0038033,6.117200353
,,,,1455.178599,14.54530373,1446.064876,15.74443169,1049.70808,7.869534122,1043.512826,8.143567061,567.3079168,4.846719019,585.104092,6.839123666
,,,,1458.791635,14.57150747,1446.65034,16.73984551,1050.328851,7.594908103,1043.68112,7.807973954,567.8928004,7.383415471,587.5548493,3.811772598
,,,,1461.151296,34.26083225,1447.24783,22.60416443,1050.917003,7.549474641,1046.177225,9.113297052,571.5719256,3.785457046,588.9287829,4.462336988
,,,,1466.156669,62.56429356,1450.507058,18.12446187,1052.749345,12.06619976,1046.492789,17.21198303,572.3170322,3.865611409,593.078688,4.677027776
,,,,1466.829726,34.29053078,1453.051685,13.65242404,1053.096238,7.321098438,1049.185426,6.873918602,576.8299878,8.752800543,594.951441,6.48203211
,,,,1468.812289,37.99471231,1460.442682,22.37202791,1054.209831,9.146429472,1049.431456,7.267933607,578.6754097,10.84396937,595.4371798,4.64957708
,,,,1486.789549,73.81346103,1460.784811,11.92043141,1055.50435,7.89038731,1049.541141,7.563924984,580.4412851,3.900500388,596.7588939,4.000431405
,,,,1492.576939,26.16033,1484.046349,20.96838838,1055.767134,7.065150279,1050.270126,8.957675142,581.2433945,3.931125318,599.4729971,4.006509129
,,,,1495.698512,30.66314977,1491.882506,12.31910932,1056.211475,7.218636232,1054.013561,6.16983081,586.5988651,8.439333055,603.2556953,5.708168651
,,,,1504.158591,20.74290215,1510.209408,51.08466423,1056.72173,9.86421071,1054.702402,11.51253496,591.0954781,5.965819796,606.5504744,4.804322248
,,,,1508.836884,102.2604698,1517.050612,15.18986522,1056.783851,8.610007261,1056.194364,6.907486568,592.8199555,8.034566054,609.4625325,4.269897866
,,,,1599.814625,19.36762241,1649.272013,15.19548675,1057.05431,6.574212205,1056.660424,7.028079684,593.5997395,8.905523924,611.3014704,6.401465097
,,,,1631.768138,29.52614294,1661.148403,15.83913279,1057.115048,9.736136903,1057.722444,7.337772793,593.9402384,5.736104906,612.3102252,4.546867932
,,,,1642.483133,18.76129894,1667.562728,18.13778004,1058.016797,9.825028554,1057.922587,6.413012328,594.7507234,4.096692722,616.5513911,6.617765228
,,,,1658.234283,15.11561391,1671.563656,12.94164918,1059.287178,7.665614859,1058.217092,10.12934961,597.8757088,4.039685758,621.8469822,5.384594801
,,,,1709.727204,14.77564518,1689.507447,13.53187543,1060.27151,10.39525623,1058.487921,6.472320995,599.3885984,12.99865469,623.2364129,5.436427193
,,,,1757.365904,14.67241496,1690.097666,11.35565094,1060.433476,8.076716298,1059.618825,7.792405099,599.7218499,21.16673145,623.3003442,4.324092022
,,,,1765.881839,14.66216268,1705.631258,9.69593261,1060.692285,8.75918758,1060.026007,7.865428314,602.0980625,5.903186188,627.2441042,3.580024512
,,,,1798.183634,14.46233514,1716.912677,11.81140783,1062.198022,7.591959192,1060.292432,6.476546868,602.2806924,3.651902753,627.8252834,5.57269294
,,,,1799.178786,14.46130173,1723.24646,17.02175185,1063.04574,8.644210244,1063.268209,11.25126543,602.475469,5.648596742,638.6542164,4.700230209
,,,,1799.367374,17.27476519,1724.796034,12.68632059,1063.559281,9.902764786,1065.283283,13.04868645,604.6133535,5.184437856,639.0018124,7.354772435
,,,,1800.389731,14.22159909,1737.274632,16.37712443,1064.647812,8.10914633,1066.165056,11.66802904,605.1055941,5.007115649,684.745801,9.70252003
,,,,1807.892479,28.98320444,1739.992873,13.32931397,1066.117468,6.32735422,1066.99579,6.669848859,613.6636692,10.06640098,707.3444834,5.869407617
,,,,1809.378105,20.47746263,1740.267009,11.9531636,1066.459557,8.398093493,1067.719846,10.01248918,617.0325334,4.730507897,723.6000821,11.88722269
,,,,1816.125732,18.5904289,1740.530304,12.25748063,1067.307548,8.288764794,1067.900212,16.46012169,618.0386298,3.714850352,724.7877457,5.768938091
,,,,1823.148816,18.41703744,1744.380379,11.06037549,1067.635985,8.065965928,1068.944414,6.908678529,618.3142923,5.696743385,775.1859035,4.847885583
,,,,1854.990857,17.85277649,1744.884407,17.38464472,1067.815659,7.066969913,1070.252158,6.000341789,624.0171887,3.987484123,775.5253166,6.275023588
,,,,1859.169346,21.18116811,1751.412308,10.93735422,1068.621321,7.958742624,1070.518467,9.266468875,625.935991,3.999031896,936.6207422,5.735713791
,,,,1869.457925,17.41313343,1751.528257,10.79630907,1068.805626,8.703130936,1071.386909,10.42827829,631.3757207,4.249338974,946.4138527,30.06350102
,,,,1888.163062,18.57001412,1752.012156,11.07758314,1068.949911,15.93817012,1072.894227,7.865814886,664.5970751,3.945485911,956.3513269,8.975429891
,,,,1892.284227,13.96935702,1775.679895,19.21774595,1069.643767,8.679526261,1073.188987,6.727145358,674.3103201,8.108998226,957.9719031,6.856308049
,,,,1896.239987,15.48883806,1784.423392,9.615512625,1071.954306,7.138060981,1074.539091,7.659133383,697.6574419,5.51848994,958.5732606,11.4640083
,,,,1907.680508,15.58283099,1788.41909,12.90586353,1072.184566,10.69003029,1074.621168,7.590013452,720.5132444,10.39909349,960.4249988,6.136665236
,,,,1963.160497,19.24712879,1800.078352,21.53594233,1072.710999,9.835942983,1075.126672,14.26408071,744.18868,4.989081368,964.095588,8.029290985
,,,,1970.311737,34.61446339,1801.393999,13.7491315,1073.662715,9.717155341,1075.232575,12.53229706,773.6640648,17.50156265,964.3645551,7.112903488
,,,,2087.728986,13.68528816,1809.169408,18.30106386,1073.670143,10.41622528,1076.209441,7.385355535,786.3048911,8.750160765,965.1032585,13.12936501
,,,,2104.41697,19.26046143,1841.349885,14.28498299,1074.3805,8.393001917,1077.482546,7.72129157,795.8609743,8.111177908,965.4364588,5.244506115
,,,,2117.982863,11.63375635,1844.554909,11.78877662,1075.192039,10.43711588,1078.754114,7.314004765,877.3255506,6.676565258,965.9446536,7.746329062
,,,,2132.005024,15.48282717,1845.428971,11.86641822,1076.125744,8.496094218,1079.784377,7.496839146,897.0422287,6.934929534,970.0273257,4.751667705
,,,,2161.534861,26.32145155,1845.807128,12.38777998,1076.535623,9.298222393,1081.926138,7.048113499,922.4155453,8.670941411,973.0809441,8.109681276
,,,,2202.996456,15.84220225,1846.973221,10.13382664,1077.77664,11.6654046,1083.419116,8.391867033,924.6509882,7.20638579,973.5310336,5.97626422
,,,,2314.235195,14.05298902,1861.872128,12.03351936,1078.703629,10.0122738,1083.603047,7.644053959,934.7478098,5.963260031,973.5797745,11.79806523
,,,,2441.149239,13.89304144,1900.043051,9.646304414,1078.763424,7.500968386,1084.890794,7.944225362,939.8212426,6.980847932,973.7460301,9.61967993
,,,,2445.812899,12.69070813,1916.9018,11.15480517,1078.880714,8.806848409,1085.119701,8.061204185,958.7199586,37.23248105,974.1894473,7.023323536
,,,,2450.787643,11.7530593,1980.566703,11.69103861,1079.572891,8.713448074,1087.670425,7.151508484,964.1694977,6.82565427,977.0213646,6.897030957
,,,,2485.015965,28.91880641,2084.777557,16.75336325,1079.59404,8.669111012,1092.664021,11.7087545,964.2850263,9.273185622,978.018894,8.14324933
,,,,2509.846208,23.20080747,2110.617135,11.40021964,1079.704302,10.92131619,1092.801423,13.12016898,968.3785775,6.456804673,979.7925829,12.87169546
,,,,2593.414051,13.92456678,2293.65276,15.96861275,1081.181454,11.49347774,1094.733484,7.784482371,969.2812327,5.562034226,980.8188506,16.76130323
,,,,2636.301952,14.83340915,2530.429329,30.99771517,1081.970499,6.79418846,1095.243511,6.463652733,970.568393,6.746985052,984.4740781,7.926162101
,,,,2637.770425,11.83186477,2550.754126,9.921844231,1082.700712,7.661204659,1095.913869,7.896035032,973.0518573,5.188029194,986.1780078,10.4665423
,,,,2658.528864,13.18152308,2574.017019,13.92408891,1083.14476,9.910368195,1096.745197,6.625968815,973.8078719,6.585152017,987.4526301,24.84793226
,,,,2678.101431,11.012515,2590.631693,10.67958117,1083.50116,10.56952637,1096.995955,7.195159177,974.8613654,7.392334137,988.0616232,6.297322972
,,,,2682.157968,11.41505111,2623.533958,9.840391816,1083.982287,8.519455162,1099.305467,7.843965254,975.198474,6.019507384,989.8114196,8.519709153
,,,,2692.952181,15.16599068,2678.445923,19.07687239,1084.599409,10.02659775,1099.433434,8.459190165,978.5738766,6.925193838,990.0773006,5.27703244
,,,,2694.570643,11.55845052,2683.470797,9.276935187,1084.980679,8.317943269,1099.585969,8.809513309,980.9100764,6.892255561,991.8368473,7.943911399
,,,,2700.730334,12.37585116,2690.912105,10.54316028,1085.621539,9.111861363,1100.801969,12.5770839,984.5640267,6.590666906,994.2839842,5.700586804
,,,,2704.126065,13.79061081,2702.153084,8.737476472,1085.680171,10.30476533,1102.914452,7.944238337,985.4861454,9.23705185,994.8386695,6.328342837
,,,,2710.896206,17.3641895,2719.483473,12.56994599,1088.212863,8.135083128,1104.99271,8.040369486,986.2994319,7.168437129,997.051296,8.59262266
,,,,2719.215438,13.71471572,2729.567643,11.30969615,1089.536083,9.904921249,1105.043908,9.850266799,988.0340214,5.094131399,997.9031838,5.995373827
,,,,2723.445369,13.33297116,2736.501303,8.467254535,1091.545005,7.170970952,1105.044402,8.581435939,988.6188299,6.343170452,998.4199974,9.058123835
,,,,2743.212659,15.27058112,2793.600975,8.853036418,1092.214416,6.673001479,1106.524083,7.89130303,988.8598236,6.307423669,998.6785028,8.724539684
,,,,2802.850117,16.00773245,2807.024657,10.25606504,1094.426983,8.736208365,1108.078549,8.553200299,990.1741483,8.233983871,999.756898,5.686216648
,,,,2837.841821,13.12058045,2811.899708,8.979532591,1094.594311,6.858400894,1109.962348,6.823158229,990.8084091,11.50537314,1001.495631,7.365426952
,,,,2846.592847,11.9406174,2926.234202,9.820435767,1095.034881,11.50007091,1110.197787,6.696881262,991.3677782,6.851725889,1002.932426,6.842185604
,,,,2849.877109,10.74512398,3142.866454,9.91441474,1096.117601,8.931699352,1112.21631,10.37926301,991.7883183,6.105015603,1004.148728,23.1821191
,,,,2849.996889,12.1172949,,,1098.262631,12.54699884,1114.481597,8.095211121,991.8184635,6.294292612,1004.16294,11.59583511
,,,,2930.378769,11.6431443,,,1102.492085,9.056504004,1114.645141,9.050393691,992.5846527,7.390608325,1004.394697,6.661923663
,,,,2964.138327,15.73153307,,,1103.906159,7.860138097,1115.529363,7.285806901,993.3066718,6.030564104,1004.408059,9.454566833
,,,,3315.503463,10.50819883,,,1104.110286,8.141543085,1117.016849,9.112418001,993.7710587,6.820008844,1006.842994,7.811597897
,,,,,,,,1104.487044,5.838408876,1117.321982,8.154739789,994.2792667,6.302824882,1007.796388,7.820540795
,,,,,,,,1104.717044,10.98787164,1119.018953,8.415711943,996.497462,4.702190036,1008.594554,6.888098182
,,,,,,,,1104.943055,8.362964327,1119.254862,7.679938761,996.8465705,13.12199286,1009.29856,8.635454943
,,,,,,,,1106.07325,10.29800776,1123.711723,7.700455552,998.1201664,5.736741571,1009.370076,6.455730249
,,,,,,,,1107.113822,11.94578138,1125.168467,9.480619168,998.4370338,12.8241827,1010.727819,6.971183692
,,,,,,,,1108.148972,10.53219868,1125.496852,10.08150368,1001.053803,11.37805879,1011.656179,9.880967617
,,,,,,,,1109.371586,8.028070875,1126.082159,6.900631566,1001.206631,8.822067434,1011.949955,6.381293657
,,,,,,,,1110.151979,9.744512366,1127.002623,10.03569769,1001.388709,7.773492293,1012.156731,6.734637133
,,,,,,,,1113.397595,7.845500845,1129.558607,7.610551204,1002.166842,10.76458065,1012.20526,5.166088595
,,,,,,,,1113.987372,16.60972181,1130.260427,8.960473449,1002.68454,8.238604488,1012.997875,14.57332554
,,,,,,,,1114.512436,10.25298528,1131.758685,8.522756917,1002.9477,6.343936688,1013.508417,10.99726416
,,,,,,,,1115.385545,8.157517101,1132.753184,8.666329679,1003.246316,7.08360964,1014.332469,8.219490593
,,,,,,,,1116.120335,7.969288939,1132.844031,5.976358741,1003.271402,7.467078924,1014.333124,6.81767537
,,,,,,,,1116.182602,11.33775813,1132.875509,7.566228997,1003.336078,8.257599005,1014.441036,13.29160079
,,,,,,,,1117.371078,7.699885679,1136.44998,9.319872044,1003.532519,6.915539177,1014.510703,11.13627568
,,,,,,,,1120.316454,8.459449872,1137.348006,7.739806436,1004.941336,7.308104985,1014.978976,7.148449839
,,,,,,,,1120.657394,8.000618027,1142.009375,10.26200068,1005.269423,5.775611919,1015.483052,6.642147776
,,,,,,,,1122.065124,10.88989581,1144.58628,5.687811395,1005.376837,6.099183081,1015.935558,6.116422676
,,,,,,,,1122.727997,8.368868271,1144.815048,8.200164211,1005.480551,7.672588532,1016.07195,6.182344781
,,,,,,,,1123.553037,8.104251909,1147.642659,11.33490251,1005.658349,7.469257102,1016.367283,7.793747337
,,,,,,,,1124.353001,9.238841481,1147.848744,11.62798323,1006.315082,19.45610367,1018.306772,6.791955182
,,,,,,,,1126.581474,9.765412949,1148.762199,10.56612466,1006.490685,12.68213483,1018.536486,6.39768609
,,,,,,,,1126.794337,6.811337537,1148.787711,7.703564568,1006.564443,6.151190554,1019.014839,4.756398301
,,,,,,,,1126.982795,6.762735674,1150.000134,10.24987489,1006.805936,6.719184781,1019.604361,9.885912681
,,,,,,,,1135.488513,7.218327595,1152.070728,11.39953678,1007.48412,5.534083039,1019.738904,7.777310667
,,,,,,,,1135.824045,9.178868848,1153.952657,7.817996428,1008.482316,7.044663125,1019.797516,7.458899504
,,,,,,,,1136.388432,7.36108372,1154.250409,14.06033431,1009.540985,9.326646495,1020.045782,6.130439529
,,,,,,,,1138.195143,6.908712133,1155.01258,8.01046174,1009.588962,9.057473535,1020.147926,8.118323017
,,,,,,,,1142.674991,8.414960328,1155.800078,8.612807652,1009.865551,9.004290457,1020.571157,8.422183515
,,,,,,,,1146.05264,7.45964653,1156.475077,8.819924018,1010.144725,10.94367692,1021.005147,7.928060902
,,,,,,,,1147.223,7.99146021,1156.73096,7.81522824,1010.853559,6.160506871,1021.924513,6.449492168
,,,,,,,,1153.15146,10.18786718,1162.805933,6.419866976,1011.109146,7.454834752,1021.963114,7.187840755
,,,,,,,,1153.316893,9.259082595,1163.320354,8.52722352,1011.215972,6.85117758,1022.029916,8.613468022
,,,,,,,,1155.398697,8.817769853,1164.047402,8.922361074,1011.658253,8.83523344,1022.033121,8.103304128
,,,,,,,,1155.798578,7.869249053,1164.127837,8.989679264,1011.86202,8.314188956,1022.904333,6.787400007
,,,,,,,,1159.021578,7.430987112,1164.624613,7.728343656,1012.036124,5.856221705,1023.10965,10.5670393
,,,,,,,,1159.723651,6.984061068,1165.992756,7.23305583,1012.091225,7.805294815,1023.422742,19.71523421
,,,,,,,,1163.762737,12.24733048,1166.683511,6.209876747,1012.746321,6.941018912,1023.480502,8.709763127
,,,,,,,,1163.908233,9.88140083,1167.089805,8.231191862,1013.303646,7.72028134,1024.238766,11.8395931
,,,,,,,,1169.531113,7.12737016,1168.873833,9.666892753,1013.528288,8.216606356,1024.600945,6.726619146
,,,,,,,,1169.675528,9.667042289,1169.19497,7.637209752,1013.55932,13.91875846,1025.523363,6.088430068
,,,,,,,,1170.21254,9.049254144,1172.179817,8.850999036,1013.73907,6.711522506,1026.356913,8.32696313
,,,,,,,,1173.851446,9.575936147,1176.383171,9.223061823,1014.016034,5.660555574,1027.159855,7.916733792
,,,,,,,,1175.132184,8.427081747,1176.944717,9.272696407,1014.830485,7.848167652,1027.406144,14.01243344
,,,,,,,,1177.778795,8.926952012,1177.543938,7.731907906,1015.126775,6.164939259,1027.869159,5.891707408
,,,,,,,,1178.081128,9.0280646,1178.567039,6.976333098,1015.227899,7.668071759,1027.905362,10.49891102
,,,,,,,,1178.389814,9.894432388,1181.023917,7.539413194,1015.8474,9.334701626,1028.088632,6.181012731
,,,,,,,,1179.180222,8.112162525,1186.786159,7.6318506,1015.850716,6.48809318,1028.67827,5.82423347
,,,,,,,,1179.75421,7.809316037,1191.912176,8.107008747,1016.754249,6.165620147,1028.716115,6.171026434
,,,,,,,,1181.977305,7.637567359,1191.924117,8.457850423,1016.803554,6.209765849,1029.062827,7.237998416
,,,,,,,,1187.031151,8.721238382,1205.965626,50.72604518,1017.239314,6.395152301,1031.310572,6.836314797
,,,,,,,,1187.112153,7.865185754,1224.232756,26.11559053,1017.727,6.282480031,1031.911315,7.082621509
,,,,,,,,1194.479164,45.5718173,1229.344493,28.15438194,1018.324584,8.163355049,1032.125811,7.773937366
,,,,,,,,1194.51441,8.379483369,1250.049703,14.20429819,1018.3669,5.375397177,1032.359682,7.855641172
,,,,,,,,1196.213381,9.146624849,1312.130309,16.39011698,1018.752431,6.961416402,1032.791104,9.77173277
,,,,,,,,1198.652663,10.56426556,1317.127255,56.5489159,1018.908154,6.116304364,1032.873451,9.502950073
,,,,,,,,1203.119312,8.264251099,1317.487443,29.43300792,1018.948523,6.102305294,1032.909064,7.029856294
,,,,,,,,1218.46204,37.5721788,1320.999174,80.96461029,1019.266506,6.675175444,1033.62711,8.362716835
,,,,,,,,1220.226535,19.57168166,1324.895969,29.3192587,1019.7349,8.358658671,1034.895018,6.924123681
,,,,,,,,1225.607468,22.4276942,1334.050948,357.9235634,1020.510614,9.201555159,1035.067938,9.618366567
,,,,,,,,1228.368565,29.09100959,1345.755647,31.7148761,1020.664986,6.721700958,1035.276615,7.060947729
,,,,,,,,1236.681784,91.08477635,1351.405412,27.20340139,1020.771174,6.964857877,1035.709942,16.48957906
,,,,,,,,1243.215727,41.93060353,1352.933404,28.7594405,1021.063499,8.819911787,1035.944461,9.369401971
,,,,,,,,1247.165643,23.61585444,1356.472788,33.16901257,1021.492952,7.703194015,1035.956228,6.701639634
,,,,,,,,1248.571699,83.9145903,1361.677258,22.59050462,1021.560258,8.004053932,1036.008079,17.75578173
,,,,,,,,1250.027985,15.41322323,1364.345833,41.85016307,1022.154528,9.367923112,1036.314738,8.412315088
,,,,,,,,1264.171212,31.51575642,1367.174648,22.21312146,1022.238968,7.95052505,1036.813522,7.479065253
,,,,,,,,1277.607615,22.86751,1371.428059,35.27016452,1023.313295,5.972323295,1037.365607,8.799884451
,,,,,,,,1278.043819,19.39731271,1380.647446,53.39831492,1023.680212,12.41881173,1037.830319,6.432178084
,,,,,,,,1286.34241,173.0253879,1382.657608,61.205964,1023.907951,7.742932504,1037.863034,6.143578118
,,,,,,,,1289.391023,91.02581006,1384.303181,28.06097688,1025.119185,13.75797393,1037.987494,5.746702856
,,,,,,,,1294.79489,74.47085963,1390.225366,28.63781096,1025.173686,6.499914919,1038.015588,6.738712969
